"Active","有効"
"Transaction Type","Transaction Type"
"Transactions","Transactions"
"Trial ","Trial "
"Trial Payment","Trial Payment"
"Trial Period","Trial Period"
"Trial period payment","Trial period payment"
"Unhold","保留解除"
"Unhold action is not available.","Unhold action is not available."
"Unhold order","保留されていない注文"
"Unknown State","不明な国"
"Unknown Status","不明なステータス"
"Unsupported transaction type ""%s"".","未サポートのトランザクション種別です ""%s"""
"Update Changes","変更"
"Update Items and Qty\'s","商品と数量を更新"
"Update Qty's","数量の更新"
"Updated At","更新日"
"Updated:","更新:"
"Use Aggregated Data (beta)","集計済みデータを使用する(β版)"
"Validate Each Address Separately in Multi-address Checkout","複数お届け先チェックアウトで個別にお届け先を検証する"
"Value","値"
"View All","全て見る"
"View Order","注文の詳細を表示"
"Visible on Frontend","お客さまページに表示する"
"Void","無効"
"Void invoice","領収を無効にする"
"Voided authorization.","オーソリ情報を無効にしました"
"Website","ウェブサイト"
"Whether buyer can define the date when billing for the profile begins.","Whether buyer can define the date when billing for the profile begins."
"Wrong billing agreement ID specified.","不正な請求同意書IDが指定されました。"
"Wrong state: ""%s"".","不正な状態: ""%s""."
"You have placed no orders.","注文はありません"
"You will be redirected to the payment system website.","決済サービス会社のWebサイトに移動します。"
"Your credit card will be charged for","クレジットカードでお支払いいただく金額"
"ZIP/Post Code","郵便番号"
"the credit memo email is not sent","the credit memo email is not sent"
"the credit memo email was sent","the credit memo email was sent"
"the invoice email is not sent","領収メール未送信"
"the invoice email was sent","領収メール送信済"
"the order confirmation email is not sent","注文確認メール未送信"
"the order confirmation email was sent","注文確認メール送信済"
"the shipment email is not sent","出荷メール未送信"
"the shipment email was sent","出荷メール送信済"
"Customer's Current Activities","お客さま行動(Activities)"
"Products in Comparison List","比較リスト内の商品"
"Update Items and Qty's","注文の更新"
"Submit Invoice","送信"
"Items to Invoice","商品"
"Lot Number","ロット番号"
"There are no recurring profiles yet.","定期購入が見つかりません。"
"payment method","支払方法"
"Purchasing items","購入商品"
"Change billing address","ご注文者住所の変更"
"Change shipping address","お届け先の変更"
"Change payment method","支払方法の変更"
"Change shipping method","発送方法の変更"
"Back to Payment method","支払方法の指定に戻る"
"Back to delivery instructions","配送日時指定に戻る"
"Please push Order button only once. Please wait until advancing to the subsequent page after it pushes.","「注文を確定する」ボタンを押して次の画面が表示されるまでしばらくお待ちください。"
"price","価格"
"Ship to","発送先"
"Use for shipping","お届け先として使用する。"
"Change delivery instructions","配送日時の変更"
"Invalid data.","不正なデータです。"
"Invalid data","不正なデータです。"
"%s was successfully added to your shopping cart.","%sがカートに追加されました。"
"Bulk Shipment","一括出荷"
"Bulk Invoice","一括領収"
"Bulk Cancel","一括キャンセル"
"Order Statuses","注文ステータス"
"Assign Status to State","ステータスの割当"
"Create New Status","新規作成"
"Status Code","ステータスコード"
"Default Status","デフォルトステータス"
"State Code [State Title]","状態コード[状態名]"
"Unassign","割当解除"
"Save Status","保存"
"Edit Order Status","注文ステータス編集"
"Order Status Information","注文ステータス情報"
"Status Label","ステータスラベル"
"The order status has been saved.","注文ステータスが保存されました。"
"This product has not been configured.","親SKU商品が不正です。商品管理から確認を行なってください。"
"You can purchase ""Trial Product"" only once.","トライアル商品は一度しか購入できません。"
"Table of Items Ordered","お買い上げ明細"
"Last Buy","最終購入日"
"Buy Amount","購入総額"
"Outstanding Payment","未払金"
"Failed to add a trial product ""%s""","トライアル商品(ID:%s)の追加は出来ません。"
"Assign Order Status to State","注文ステータスを状態に割当"
"Save Status Assignment","保存"
"Order State","注文状態"
"Use Order Status As Default","注文ステータスをデフォルトとして使用"
"Assignment Information","割当情報"
"Changing address information will not recalculate shipping, tax or other order amount.","住所情報の変更では配送料金、税、その他料金の再計算は行われません。"
"Save Order Address","注文住所の保存"
"Improves dashboard performance but provides non-realtime data.","ダッシュボードの表示速度が速くなりますがリアルタイムの結果は確認できなくなります。"
"Send Order Email","注文メールを送信する"
"Send Order Comments Email Copy Method","注文コメントメールのコピー送付方法"
"Send Invoice Email Copy Method","領収メールのコピー送付方法"
"Send Invoice Comments Email Copy Method","領収コメントメールのコピー送付方法"
"Send Shipment Email Copy Method","出荷メールのコピー送付方法"
"Send Shipment Comments Email Copy Method","出荷コメントメールのコピー送付方法"
"Send Credit Memo Email Copy Method","クレジットメモメールのコピー送付方法"
"Send Credit Memo Comments Email Copy Method","クレジットメモコメントメールのコピー送付方法"
"Returns","返品"
"Enter the billing last name and email/ZIP as in the order billing address","お支払いのお名前(姓)とメールもしくは郵便番号を入力してください"
"Billing Last Name","お支払いのお名前(姓)"
"Find Order By:","注文検索に使用する項目"
"Billing ZIP Code","郵便番号"
"Orders and Returns","ご注文と返品"
