"# of Use","# 使用中"
"%1$s incl tax.","%1$s 税込"
"%s - %s","%s - %s"
"%s Item(s)","%sアイテム"
"%s and above","%s〜"
"Total Qty Base Items","トータルクオリティベースアイテム"
"Total incl. Tax: %1$s","税込合計: %1$s"
"Total of %d record(s) have been deleted.","合計%d件を削除しました。"
"Total of %d record(s) have been updated.","合計%d件を更新しました。"
"Type","タイプ"
"URL Rewrite Management","URL書換管理"
"Unable to complete this request.","リクエストを完了できません。"
"Unable to find a search term to delete.","削除する検索キーワードが見つかりません。"
"Unable to find an attribute to delete.","削除する属性が見つかりません。"
"Unable to get the product ID.","商品IDを取得できません。"
"Unassigned Attributes","未割り当ての属性"
"Unknown EAV indexer type ""%s"".","不明なEAVインデックスタイプ""%s""です。"
"Unknown attribute: %s.","不明な属性: %s."
"Unsupported product type ""%s"".","未サポートの商品タイプ""%s""です。"
"Up-sells","推奨商品(上位商品)"
"Update Attributes","属性更新"
"Update Tier Price","列価格をアップでート"
"Update assigned product","割り当てた商品を更新"
"Update attributes","属性の更新"
"Update category","カテゴリを更新"
"Update product","商品を更新"
"Update product image","商品画像を更新"
"Update product link","商品関連を更新"
"Update product tier prices","商品価格階層を更新"
"Upload new product image ","新しい商品画像をアップロード"
"Url Rewrite Management","URL書き換え管理"
"Use Canonical Link Meta Tag For Categories","カテゴリページにURL正規化タグを使用する"
"Use Canonical Link Meta Tag For Products","商品ページにURL正規化タグを使用する"
"Use Categories Path for Product URLs","商品URLにカテゴリパスを使用する"
"Use Config Settings","標準設定を使用する"
"Use Flat Catalog Category","フラットカタログカテゴリを使用する"
"Use Flat Catalog Product","フラットカタログ商品を使用する"
"Use In Layered Navigation","階層ナビゲーションで使用する"
"Use In Search Results Layered Navigation","検索結果で階層ナビゲーションを使用する"
"Use JavaScript Calendar","JavaScriptカレンダーを使用する"
"Use Static URLs for Media Content in WYSIWYG for Catalog","カテゴリWYSIWIGエディタでメディアURLに静的URLを使用する"
"Use To Create Configurable Product","親SKU商品を使って作成する"
"Use Tree Like Category Sitemap","ツリー状のカテゴリサイトマップ"
"Use default","デフォルト値を使用する"
"Use for Promo Rule Conditions","プロモーションルールの条件で使用する"
"Use four-digit year format.","4ケタ表記を使用する。"
"Use in Advanced Search","詳細検索で使用する"
"Use in Layered Navigation","階層ナビゲーションで使用する"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","階層ナビゲーションで使用する。<br/>(入力形式が 'ドロップダウン' でのみ使用できます)"
"Use in Quick Search","簡易検索で使用する"
"Used for Sorting in Product Listing","商品一覧の並べ替えに使用する"
"Used in Product Listing","商品一覧で使用する"
"Value for ""%s"" is invalid.","""%s""の値は不正です。"
"Value for ""%s"" is invalid: %s","""%s""の値が不正です: %s"
"Varchar","＊"
"View as","表示方法"
"Virtual Product","仮想商品"
"Visibility","表示"
"Visible","表示"
"Visible on Catalog Pages on Front-end","カタログページをフロントエンドに表示する"
"Visible on Product View Page on Front-end","フロントエンドの商品画面で表示する"
"WYSIWYG Editor","WYSIWYGエディタ"
"Watermark","透かし"
"Watermark Default Size","透かしのデフォルトサイズ"
"Watermark Opacity, Percent","透かし不透明度(%)"
"Watermark Position","透かし位置"
"We Also Recommend","私たちもお勧めします。"
"Website","ウェブサイト"
"Websites","ウェブサイト"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","１ページに表示する結果件数ドロップダウンに""すべて""の選択肢を表示します。"
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong option instance type in options group.","Wrong option instance type in options group."
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group.","オプショングループの不正な商品インスタンスです。"
"Wrong product type filter specified","不正な商品タイプフィルターが指定されました"
"Wrong quote item instance in options group.","Wrong quote item instance in options group."
"Wrong quote item option instance in options group.","Wrong quote item option instance in options group."
"Year Range","年"
"You cannot email this product to a friend.","この商品を友達に教えることはできません。"
"You cannot remove system attribute from this set.","個のセットからシステム属性を削除できません。"
"You cannot send more than %d emails at a time.","一時間に%d件以上のメールを送信することはできません。"
"You have exceeded limit of %d sends in an hour.","一時間に%d件まで送信できます。"
"You have no items to compare.","比較する商品はありません"
"You have to specify at least one recipient.","最低でも1件の受信先を指定してください。"
"You may also be interested in the following product(s)","以下の商品にご興味はありませんか？"
"Zoom In","ズームイン"
"Zoom Out","ズームアウト"
"[GLOBAL]","[グローバル]"
"and","と"
"categories","カテゴリ"
"each","それぞれ"
"ex. http://domain.com","例: http://domain.com"
"leave blank if its not an image","画像にしない場合は空白にして下さい"
"products","商品"
"px.","ピクセル"
"save","保存"
"select all","すべて選択"
"unselect all","すべての選択を解除"
"x","x"
"General","全般"
"Prices","価格"
"Meta Information","METAタグ"
"Images","画像"
"Recurring Profile","定期購入"
"Gift Options","ギフト"
"Description","説明"
"Short Description","簡単な説明"
"Weight","重量"
"Set Product as New from Date","新商品表記開始日"
"Set Product as New to Date","新商品表記終了日"
"URL key","URLキー"
"In feed","フィードに出力する"
"Special Price From Date","特別価格開始日"
"Special Price To Date","特別価格終了日"
"Cost","コスト"
"Tier Price","お客さまグループ価格"
"Is product available for purchase with Google Checkout","グーグルチェックアウトを利用可能にする"
"Meta Title","メタタイトル"
"Enable Recurring Profile","定期購入を可能にする"
"Active From","有効期間開始日"
"Active To","有効期間終了日"
"Custom Layout Update","レイアウトXML"
"Display product options in","商品オプション表示位置"
"Allow Gift Message","ギフトメッセージを許可する"
"Qty for Item's Status to become Out of Stock","在庫切れにする数量"
"Delivery Fee","送料"
"Free Shipping","送料無料商品"
"Category Name","カテゴリ名"
"Category Description","カテゴリ説明"
"Is Active","有効"
"Thumbnail Image","サムネイル画像"
"Include in Navigation Menu","メニューに表示する"
"Sales From","販売開始日"
"Sales To","販売終了日"
"Product Top Block","上部ブロック"
"Product Bottom Block","下部ブロック"
"Please Select the Block","静的ブロックを選択してください。"
"Trial","トライアル"
"SKU","SKU"
"Sku","SKU"
"Display Settings","表示設定"
"Please select a static block ...","静的ブロックを選択してください。"
"Layered Navigation","階層ナビゲーション"
"Price Navigation Step Calculation","価格階層計算方法"
"Default Price Navigation Step","デフォルトの価格階層ステップ"
"Create Permanent Redirect for URLs if URL Key Changed","URLキーが変更されると恒久的なリダイレクトを生成する"
"Minimum Advertised Price","最低販売価格/希望小売価格"
"Click for price","価格を確認"
"Actual Price","販売価格"
"Enable MAP","希望小売価格を有効にする"
"Apply MAP (Default Value)","希望小売価格の適用(デフォルト値)"
"Display Actual Price","販売価格の表示"
"Default Popup Text Message","デフォルトのポップアップメッセージ"
"Default ""What's This"" Text Message","""これは何？""のデフォルトメッセージ"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">警告!</strong><br />希望価格の適用(デフォルト値)を「はい」にすると全商品の価格が表示されなくなります。"
"On Gesture","お客さま動作(クリックなど)"
"In Cart","カート内"
"Before Order Confirmation","注文確認時"
"Apply Discounts To FPT","商品個別費用(税・リサイクル料)に値引を適用する"
"Apply Tax To FPT","商品個別費用(税・リサイクル料)に課税する"
"Display Prices In Emails","メールに商品個別費用(税・リサイクル料)を記載する"
"Display Prices In Product Lists","商品一覧に商品個別費用(税・リサイクル料)を表示する"
"Display Prices In Sales Modules","Salesモジュールで商品個別費用(税・リサイクル料)を表示する"
"Display Prices On Product View Page","商品画面で商品個別費用(税・リサイクル料)を表示する"
"Enable FPT","商品個別費用(税・リサイクル料)を使用する"
"Excluding FPT","商品個別費用(税・リサイクル料)を除外する"
"Excluding FPT, FPT description, final price","商品個別費用(税・リサイクル料)抜価格, 商品個別費用(税・リサイクル料)概要, 合計金額"
"Fixed Product Tax","商品個別費用(税・リサイクル料)"
"Fixed Product Taxes","商品個別費用(税・リサイクル料)"
"Include FPT In Subtotal","小計に商品個別費用(税・リサイクル料)を含める"
"Including FPT and FPT description","商品個別費用(税・リサイクル料)込と商品個別費用(税・リサイクル料)概要"
"Including FPT and FPT description [incl. FPT VAT]","商品個別費用(税・リサイクル料)込価格と商品個別費用(税・リサイクル料)概要"
"Including FPT only","商品個別費用(税・リサイクル料)込価格のみ"
"Total Incl. Tax","税込合計"
"Total incl. tax","合計税込額"
"File:","ファイル:"
"URL:","URL:"
